threshold,true_positive,false_positive,true_negative,false_negative,sensitivity,specificity,balanced_accuracy,precision,recall,fpr
0.9899999999999999,1,0,22,16,0.058823529411764705,1.0,0.5294117647058824,1.0,0.058823529411764705,0.0
0.9833333333333334,2,0,22,15,0.11764705882352941,1.0,0.5588235294117647,1.0,0.11764705882352941,0.0
0.98,4,0,22,13,0.23529411764705882,1.0,0.6176470588235294,1.0,0.23529411764705882,0.0
0.9766666666666666,8,1,21,9,0.47058823529411764,0.9545454545454546,0.7125668449197862,0.8888888888888888,0.47058823529411764,0.045454545454545456
0.8033333333333333,9,1,21,8,0.5294117647058824,0.9545454545454546,0.7419786096256684,0.9,0.5294117647058824,0.045454545454545456
0.7949999999999999,10,1,21,7,0.5882352941176471,0.9545454545454546,0.7713903743315509,0.9090909090909091,0.5882352941176471,0.045454545454545456
0.7933333333333333,10,2,20,7,0.5882352941176471,0.9090909090909091,0.7486631016042781,0.8333333333333334,0.5882352941176471,0.09090909090909091
0.7833333333333333,11,2,20,6,0.6470588235294118,0.9090909090909091,0.7780748663101604,0.8461538461538461,0.6470588235294118,0.09090909090909091
0.7816666666666667,12,2,20,5,0.7058823529411765,0.9090909090909091,0.8074866310160428,0.8571428571428571,0.7058823529411765,0.09090909090909091
0.7633333333333333,13,2,20,4,0.7647058823529411,0.9090909090909091,0.8368983957219251,0.8666666666666667,0.7647058823529411,0.09090909090909091
0.75,14,2,20,3,0.8235294117647058,0.9090909090909091,0.8663101604278074,0.875,0.8235294117647058,0.09090909090909091
0.7433333333333333,15,2,20,2,0.8823529411764706,0.9090909090909091,0.8957219251336899,0.8823529411764706,0.8823529411764706,0.09090909090909091
0.665,15,3,19,2,0.8823529411764706,0.8636363636363636,0.8729946524064172,0.8333333333333334,0.8823529411764706,0.13636363636363635
0.6416666666666667,16,3,19,1,0.9411764705882353,0.8636363636363636,0.9024064171122994,0.8421052631578947,0.9411764705882353,0.13636363636363635
0.635,16,4,18,1,0.9411764705882353,0.8181818181818182,0.8796791443850267,0.8,0.9411764705882353,0.18181818181818182
0.43166666666666664,16,5,17,1,0.9411764705882353,0.7727272727272727,0.856951871657754,0.7619047619047619,0.9411764705882353,0.22727272727272727
0.115,16,6,16,1,0.9411764705882353,0.7272727272727273,0.8342245989304813,0.7272727272727273,0.9411764705882353,0.2727272727272727
0.11166666666666668,16,7,15,1,0.9411764705882353,0.6818181818181818,0.8114973262032086,0.6956521739130435,0.9411764705882353,0.3181818181818182
0.10666666666666667,16,8,14,1,0.9411764705882353,0.6363636363636364,0.7887700534759359,0.6666666666666666,0.9411764705882353,0.36363636363636365
0.07166666666666667,16,9,13,1,0.9411764705882353,0.5909090909090909,0.7660427807486632,0.64,0.9411764705882353,0.4090909090909091
0.06666666666666667,17,9,13,0,1.0,0.5909090909090909,0.7954545454545454,0.6538461538461539,1.0,0.4090909090909091
0.06,17,10,12,0,1.0,0.5454545454545454,0.7727272727272727,0.6296296296296297,1.0,0.45454545454545453
0.055000000000000014,17,11,11,0,1.0,0.5,0.75,0.6071428571428571,1.0,0.5
0.05166666666666667,17,12,10,0,1.0,0.45454545454545453,0.7272727272727273,0.5862068965517241,1.0,0.5454545454545454
0.050000000000000024,17,13,9,0,1.0,0.4090909090909091,0.7045454545454546,0.5666666666666667,1.0,0.5909090909090909
0.04666666666666669,17,14,8,0,1.0,0.36363636363636365,0.6818181818181819,0.5483870967741935,1.0,0.6363636363636364
0.03500000000000001,17,15,7,0,1.0,0.3181818181818182,0.6590909090909091,0.53125,1.0,0.6818181818181818
0.03333333333333335,17,18,4,0,1.0,0.18181818181818182,0.5909090909090909,0.4857142857142857,1.0,0.8181818181818182
0.03000000000000001,17,20,2,0,1.0,0.09090909090909091,0.5454545454545454,0.4594594594594595,1.0,0.9090909090909091
0.023333333333333355,17,21,1,0,1.0,0.045454545454545456,0.5227272727272727,0.4473684210526316,1.0,0.9545454545454546
0.023333333333333334,17,22,0,0,1.0,0.0,0.5,0.4358974358974359,1.0,1.0
