stage,model_key,model_label,n,true_positive,false_positive,true_negative,false_negative,sensitivity,specificity,balanced_accuracy,precision
l1,primary_openai,Primary OpenAI,408,31,27,337,13,0.7045454545454546,0.9258241758241759,0.8151848151848152,0.5344827586206896
l1,primary_anthropic,Primary Anthropic,408,28,10,354,16,0.6363636363636364,0.9725274725274725,0.8044455544455544,0.7368421052631579
l1,primary_gemini,Primary Gemini,408,38,82,282,6,0.8636363636363636,0.7747252747252747,0.8191808191808192,0.31666666666666665
l1,escalation_openai,Escalation OpenAI,376,13,42,318,3,0.8125,0.8833333333333333,0.8479166666666667,0.23636363636363636
l1,escalation_xai,Escalation xAI,376,15,116,244,1,0.9375,0.6777777777777778,0.8076388888888889,0.11450381679389313
l1,escalation_anthropic,Escalation Anthropic,376,2,12,348,14,0.125,0.9666666666666667,0.5458333333333334,0.14285714285714285
l1,ensemble,Final ensemble,408,42,49,315,2,0.9545454545454546,0.8653846153846154,0.909965034965035,0.46153846153846156
