stage,model_key,model_label,n,true_positive,false_positive,true_negative,false_negative,sensitivity,specificity,balanced_accuracy,precision
l2,primary_openai,Primary OpenAI,39,15,5,17,2,0.8823529411764706,0.7727272727272727,0.8275401069518716,0.75
l2,primary_anthropic,Primary Anthropic,39,9,1,21,8,0.5294117647058824,0.9545454545454546,0.7419786096256684,0.9
l2,primary_gemini,Primary Gemini,39,16,5,17,1,0.9411764705882353,0.7727272727272727,0.856951871657754,0.7619047619047619
l2,escalation_openai,Escalation OpenAI,30,8,2,19,1,0.8888888888888888,0.9047619047619048,0.8968253968253967,0.8
l2,escalation_xai,Escalation xAI,30,8,3,18,1,0.8888888888888888,0.8571428571428571,0.873015873015873,0.7272727272727273
l2,escalation_anthropic,Escalation Anthropic,30,7,2,19,2,0.7777777777777778,0.9047619047619048,0.8412698412698413,0.7777777777777778
l2,ensemble,Final ensemble,39,16,4,18,1,0.9411764705882353,0.8181818181818182,0.8796791443850267,0.8
